Name;New_Measure_03-09-2020;
Description;;
Measure-Intervall;00:00:00.0100000;
;;

Time SN:62242 (S30X):P1;SN:62242 (S30X):P1 bar;Time SN:62242 (S30X):TOB1;SN:62242 (S30X):TOB1 °C;
03.09.2020 15:35:34.052;0.1716617;03.09.2020 15:35:34.083;12.7004395;
03.09.2020 15:35:34.115;0.1713952;03.09.2020 15:35:34.147;12.7004395;
03.09.2020 15:35:34.179;0.1714841;03.09.2020 15:35:34.211;12.7004395;
03.09.2020 15:35:34.243;0.1714841;03.09.2020 15:35:34.275;12.7004395;
03.09.2020 15:35:34.307;0.1717504;03.09.2020 15:35:34.339;12.7004395;
03.09.2020 15:35:34.371;0.1717504;03.09.2020 15:35:34.402;12.7004395;
03.09.2020 15:35:34.434;0.1717504;03.09.2020 15:35:34.466;12.7004395;
03.09.2020 15:35:34.498;0.1718391;03.09.2020 15:35:34.530;12.7004395;
03.09.2020 15:35:34.562;0.1715728;03.09.2020 15:35:34.594;12.7004395;
03.09.2020 15:35:34.626;0.1720165;03.09.2020 15:35:34.658;12.7004395;
03.09.2020 15:35:34.689;0.1719278;03.09.2020 15:35:34.721;12.7004395;
03.09.2020 15:35:34.753;0.1719278;03.09.2020 15:35:34.785;12.7004395;
03.09.2020 15:35:34.817;0.1717504;03.09.2020 15:35:34.849;12.7004395;
03.09.2020 15:35:34.881;0.1716617;03.09.2020 15:35:34.913;12.7004395;
03.09.2020 15:35:34.945;0.1717504;03.09.2020 15:35:34.977;12.7004395;
03.09.2020 15:35:35.008;0.1715728;03.09.2020 15:35:35.040;12.7004395;
03.09.2020 15:35:35.072;0.1718391;03.09.2020 15:35:35.104;12.7004395;
03.09.2020 15:35:35.136;0.1719278;03.09.2020 15:35:35.168;12.7004395;
03.09.2020 15:35:35.200;0.1721052;03.09.2020 15:35:35.232;12.7004395;
03.09.2020 15:35:35.264;0.1719278;03.09.2020 15:35:35.295;12.7004395;
03.09.2020 15:35:35.327;0.1717504;03.09.2020 15:35:35.359;12.7004395;
03.09.2020 15:35:35.391;0.1716617;03.09.2020 15:35:35.423;12.7004395;
03.09.2020 15:35:35.455;0.1718391;03.09.2020 15:35:35.487;12.7004395;
03.09.2020 15:35:35.519;0.1719278;03.09.2020 15:35:35.551;12.7004395;
03.09.2020 15:35:35.583;0.1721939;03.09.2020 15:35:35.614;12.7004395;
03.09.2020 15:35:35.646;0.1722826;03.09.2020 15:35:35.678;12.7004395;
03.09.2020 15:35:35.710;0.1721052;03.09.2020 15:35:35.742;12.7004395;
03.09.2020 15:35:35.774;0.1721052;03.09.2020 15:35:35.806;12.7004395;
03.09.2020 15:35:35.838;0.1721939;03.09.2020 15:35:35.870;12.7004395;
03.09.2020 15:35:35.901;0.1721939;03.09.2020 15:35:35.933;12.7004395;
03.09.2020 15:35:35.965;0.1720165;03.09.2020 15:35:35.997;12.7004395;
03.09.2020 15:35:36.029;0.1718391;03.09.2020 15:35:36.061;12.7331543;
03.09.2020 15:35:36.093;0.1722122;03.09.2020 15:35:36.125;12.7331543;
03.09.2020 15:35:36.157;0.1721233;03.09.2020 15:35:36.189;12.7331543;
03.09.2020 15:35:36.220;0.1717685;03.09.2020 15:35:36.252;12.7331543;
03.09.2020 15:35:36.284;0.1715025;03.09.2020 15:35:36.316;12.7331543;
03.09.2020 15:35:36.348;0.1717685;03.09.2020 15:35:36.380;12.7331543;
03.09.2020 15:35:36.412;0.1717685;03.09.2020 15:35:36.444;12.7331543;
03.09.2020 15:35:36.476;0.1722122;03.09.2020 15:35:36.507;12.7331543;
03.09.2020 15:35:36.539;0.1720346;03.09.2020 15:35:36.571;12.7331543;
03.09.2020 15:35:36.603;0.1721233;03.09.2020 15:35:36.635;12.7331543;
03.09.2020 15:35:36.667;0.1717685;03.09.2020 15:35:36.699;12.7331543;
03.09.2020 15:35:36.731;0.1715912;03.09.2020 15:35:36.763;12.7331543;
03.09.2020 15:35:36.795;0.1718572;03.09.2020 15:35:36.826;12.7331543;
03.09.2020 15:35:36.858;0.1716799;03.09.2020 15:35:36.890;12.7331543;
03.09.2020 15:35:36.922;0.1713248;03.09.2020 15:35:36.954;12.7331543;
03.09.2020 15:35:36.986;0.1715025;03.09.2020 15:35:37.018;12.7331543;
03.09.2020 15:35:37.050;0.1719459;03.09.2020 15:35:37.082;12.7331543;
03.09.2020 15:35:37.113;0.1720346;03.09.2020 15:35:37.145;12.7331543;
03.09.2020 15:35:37.177;0.1720346;03.09.2020 15:35:37.209;12.7331543;
03.09.2020 15:35:37.241;0.1721233;03.09.2020 15:35:37.273;12.7331543;
03.09.2020 15:35:37.305;0.1720346;03.09.2020 15:35:37.337;12.7331543;
03.09.2020 15:35:37.369;0.1719459;03.09.2020 15:35:37.401;12.7331543;
03.09.2020 15:35:37.432;0.1715912;03.09.2020 15:35:37.464;12.7331543;
03.09.2020 15:35:37.496;0.1715912;03.09.2020 15:35:37.528;12.7331543;
03.09.2020 15:35:37.560;0.1716799;03.09.2020 15:35:37.592;12.7331543;
03.09.2020 15:35:37.624;0.1718572;03.09.2020 15:35:37.656;12.7331543;
03.09.2020 15:35:37.688;0.1718572;03.09.2020 15:35:37.720;12.7331543;
03.09.2020 15:35:37.751;0.1716799;03.09.2020 15:35:37.783;12.7331543;
03.09.2020 15:35:37.815;0.1720346;03.09.2020 15:35:37.847;12.7331543;
03.09.2020 15:35:37.879;0.1717685;03.09.2020 15:35:37.911;12.7331543;
03.09.2020 15:35:37.943;0.1715912;03.09.2020 15:35:37.975;12.7331543;
03.09.2020 15:35:38.007;0.1715912;03.09.2020 15:35:38.038;12.7331543;
03.09.2020 15:35:38.070;0.1715025;03.09.2020 15:35:38.102;12.7331543;
03.09.2020 15:35:38.134;0.1718572;03.09.2020 15:35:38.166;12.7331543;
03.09.2020 15:35:38.198;0.1721233;03.09.2020 15:35:38.230;12.7331543;
03.09.2020 15:35:38.262;0.1715025;03.09.2020 15:35:38.294;12.7331543;
03.09.2020 15:35:38.326;0.1715025;03.09.2020 15:35:38.357;12.7331543;
03.09.2020 15:35:38.389;0.1717685;03.09.2020 15:35:38.421;12.7331543;
03.09.2020 15:35:38.453;0.1718572;03.09.2020 15:35:38.485;12.7331543;
03.09.2020 15:35:38.517;0.1716799;03.09.2020 15:35:38.549;12.7331543;
03.09.2020 15:35:38.581;0.1715912;03.09.2020 15:35:38.613;12.7331543;
03.09.2020 15:35:38.644;0.1714138;03.09.2020 15:35:38.676;12.7331543;
03.09.2020 15:35:38.708;0.1715912;03.09.2020 15:35:38.740;12.7331543;
03.09.2020 15:35:38.772;0.1715025;03.09.2020 15:35:38.804;12.7331543;
03.09.2020 15:35:38.836;0.1716799;03.09.2020 15:35:38.868;12.7331543;
03.09.2020 15:35:38.900;0.1714138;03.09.2020 15:35:38.932;12.7331543;
03.09.2020 15:35:38.963;0.1715912;03.09.2020 15:35:38.995;12.7331543;
03.09.2020 15:35:39.027;0.1714138;03.09.2020 15:35:39.059;12.7331543;
03.09.2020 15:35:39.091;0.1715912;03.09.2020 15:35:39.123;12.7331543;
03.09.2020 15:35:39.155;0.1715025;03.09.2020 15:35:39.187;12.7331543;
03.09.2020 15:35:39.219;0.1715025;03.09.2020 15:35:39.250;12.7331543;
03.09.2020 15:35:39.282;0.1715912;03.09.2020 15:35:39.314;12.7331543;
03.09.2020 15:35:39.346;0.1718572;03.09.2020 15:35:39.378;12.7331543;
03.09.2020 15:35:39.410;0.1714138;03.09.2020 15:35:39.442;12.7331543;
03.09.2020 15:35:39.474;0.1718572;03.09.2020 15:35:39.506;12.7331543;
03.09.2020 15:35:39.538;0.1715025;03.09.2020 15:35:39.569;12.7331543;
03.09.2020 15:35:39.601;0.1715912;03.09.2020 15:35:39.633;12.7331543;
03.09.2020 15:35:39.665;0.1714138;03.09.2020 15:35:39.697;12.7331543;
03.09.2020 15:35:39.729;0.1714138;03.09.2020 15:35:39.761;12.7331543;
03.09.2020 15:35:39.793;0.1718572;03.09.2020 15:35:39.825;12.7331543;
03.09.2020 15:35:39.856;0.1716799;03.09.2020 15:35:39.888;12.7331543;
03.09.2020 15:35:39.920;0.1715912;03.09.2020 15:35:39.952;12.7331543;
03.09.2020 15:35:39.985;0.1717685;03.09.2020 15:35:40.016;12.7331543;
03.09.2020 15:35:40.048;0.1713248;03.09.2020 15:35:40.080;12.7331543;
03.09.2020 15:35:40.112;0.1715025;03.09.2020 15:35:40.144;12.7331543;
03.09.2020 15:35:40.175;0.1717685;03.09.2020 15:35:40.207;12.7331543;
03.09.2020 15:35:40.239;0.1712362;03.09.2020 15:35:40.271;12.7331543;
03.09.2020 15:35:40.303;0.1712362;03.09.2020 15:35:40.335;12.7331543;
03.09.2020 15:35:40.367;0.1712362;03.09.2020 15:35:40.399;12.7331543;
03.09.2020 15:35:40.431;0.1715025;03.09.2020 15:35:40.463;12.7331543;
03.09.2020 15:35:40.494;0.1714138;03.09.2020 15:35:40.526;12.7331543;
03.09.2020 15:35:40.558;0.1716799;03.09.2020 15:35:40.590;12.7331543;
03.09.2020 15:35:40.622;0.1717685;03.09.2020 15:35:40.654;12.7331543;
03.09.2020 15:35:40.686;0.1716799;03.09.2020 15:35:40.718;12.7331543;
03.09.2020 15:35:40.750;0.1714138;03.09.2020 15:35:40.781;12.7331543;
03.09.2020 15:35:40.813;0.1713248;03.09.2020 15:35:40.845;12.7331543;
03.09.2020 15:35:40.877;0.1718572;03.09.2020 15:35:40.909;12.7331543;
03.09.2020 15:35:40.941;0.1715912;03.09.2020 15:35:40.973;12.7331543;
03.09.2020 15:35:41.005;0.1717685;03.09.2020 15:35:41.037;12.7331543;
03.09.2020 15:35:41.069;0.1716799;03.09.2020 15:35:41.100;12.6779785;
03.09.2020 15:35:41.132;0.1715025;03.09.2020 15:35:41.164;12.6779785;
